"Date","All exports","Foods, feeds, and beverages","Industrial supplies and materials","Nonagricultural industrial supplies and materials","Capital goods","Automotive vehicles, parts and engines","Consumer goods, excluding automotives",
"Jan 2016","-5.9","-12.9","-13.1","-13.2","-0.7","-0.4","-2.6",
"Feb 2016","-6.1","-10.1","-15.1","-15.4","-0.8","-0.4","-2.3",
"Mar 2016","-6.2","-10.8","-14.8","-15.1","-0.7","-0.7","-2.2",
"Apr 2016","-5.1","-9.0","-12.4","-12.5","-0.5","-0.7","-2.0",
"May 2016","-4.5","-5.0","-11.5","-11.6","-0.4","-0.8","-1.9",
"Jun 2016","-3.5","-0.3","-9.6","-9.8","-0.4","-0.7","-2.6",
"Jul 2016","-3.0","-2.3","-7.5","-7.7","-0.6","-0.5","-1.8",
"Aug 2016","-2.4","-3.1","-5.3","-5.4","-0.6","-1.1","-1.6",
"Sep 2016","-1.5","-2.6","-2.6","-2.7","-0.6","-1.0","-1.3",
"Oct 2016","-1.1","-2.5","-1.0","-1.1","-0.5","-0.8","-1.6",
"Nov 2016","-0.2","-1.1","1.1","1.1","-0.4","-0.7","-1.8",
"Dec 2016","1.3","-0.4","6.1","6.2","0.0","-0.9","-2.4",
"Jan 2017","2.4","1.6","9.1","9.4","0.3","-0.4","-2.6",
"Feb 2017","3.2","2.0","11.8","12.1","0.4","-0.2","-2.4",
"Mar 2017","3.4","5.4","10.9","11.2","0.5","0.0","-2.3",
"Apr 2017","3.1","5.1","9.9","10.1","0.4","0.2","-1.9",
"May 2017","1.4","-0.2","5.2","5.2","0.5","0.2","-2.0",
"Jun 2017","0.6","-4.1","3.3","3.4","0.6","0.0","-1.5",
"Jul 2017","0.9","-1.6","3.1","3.2","0.9","0.0","-1.5",
"Aug 2017","2.3","2.2","6.3","6.5","1.1","0.7","-1.1",
"Sep 2017","2.8","2.5","7.8","8.1","1.1","0.6","-1.3",
"Oct 2017","2.7","4.2","5.9","6.2","1.7","0.5","-0.8",
"Nov 2017","3.1","2.3","8.0","8.3","1.7","0.4","-0.5",
"Dec 2017","2.8","2.3","6.0","6.1","1.7","0.6","0.6",
"Jan 2018","3.3","1.5","7.6","7.7","1.7","0.5","1.7",
"Feb 2018","3.1","0.7","7.3","7.5","1.6","0.7","1.9",
