"Date","All imports","Foods, feeds, and beverages","Industrial supplies and materials","Capital goods","Automotive vehicles, parts and engines","Consumer goods, excluding automotives",
"Jan 2016","-6.5","-2.9","-22.2","-2.4","-1.4","-0.2",
"Feb 2016","-6.6","-4.6","-22.9","-2.2","-1.2","-0.2",
"Mar 2016","-6.1","-4.3","-20.5","-2.2","-1.0","-0.3",
"Apr 2016","-5.3","-2.1","-17.9","-2.1","-0.8","-0.5",
"May 2016","-5.2","-1.9","-17.4","-2.0","-0.5","-0.3",
"Jun 2016","-4.7","-1.8","-15.0","-2.1","-0.5","-0.5",
"Jul 2016","-3.7","1.3","-11.8","-1.9","-0.7","-0.4",
"Aug 2016","-2.2","2.3","-6.4","-1.8","-0.7","-0.5",
"Sep 2016","-1.1","3.5","-2.2","-1.5","-0.5","-0.6",
"Oct 2016","-0.2","3.9","0.6","-1.4","0.0","-0.3",
"Nov 2016","0.2","5.6","2.4","-1.4","0.1","-0.6",
"Dec 2016","1.9","4.0","10.4","-1.2","0.0","-0.7",
"Jan 2017","3.8","1.8","21.1","-1.1","-0.1","-0.4",
"Feb 2017","4.7","4.2","25.1","-0.9","0.0","-0.5",
"Mar 2017","4.1","4.4","20.9","-0.8","-0.1","-0.3",
"Apr 2017","3.6","3.4","17.3","-0.6","0.3","0.1",
"May 2017","2.3","4.0","10.7","-0.4","0.0","-0.2",
"Jun 2017","1.4","5.7","5.4","0.0","-0.2","0.0",
"Jul 2017","1.2","2.4","4.5","0.2","-0.3","0.1",
"Aug 2017","2.0","1.2","8.0","0.3","-0.1","0.4",
"Sep 2017","2.7","2.5","11.4","0.3","-0.1","0.3",
"Oct 2017","2.4","2.8","9.7","0.6","-0.4","-0.1",
"Nov 2017","3.5","0.3","15.1","0.7","-0.5","0.2",
"Dec 2017","3.2","0.9","13.6","0.7","-0.3","0.2",
"Jan 2018","3.4","3.0","13.1","0.8","0.5","-0.1",
"Feb 2018","3.3","3.5","11.7","1.0","0.6","0.2",
"Mar 2018","3.3","2.7","11.4","1.1","0.5","0.4",
"Apr 2018","3.5","2.1","13.2","1.1","0.0","0.4",
"May 2018","4.5","1.5","17.4","0.9","-0.1","0.7",
"Jun 2018","4.7","-2.3","20.6","0.4","0.0","0.4",
"Jul 2018","4.8","-3.6","21.1","0.3","0.3","0.7",
"Aug 2018","3.8","-3.3","16.9","0.1","0.2","0.5",
"Sep 2018","3.1","-3.1","12.9","0.0","0.2","0.6",
"Oct 2018","3.4","-0.8","13.9","-0.1","0.2","0.5",
"Nov 2018","0.7","-1.4","2.8","-0.1","0.2","0.5",
"Dec 2018","-0.9","-0.4","-4.4","-0.2","0.3","0.7",
"Jan 2019","-1.5","-1.5","-5.4","-0.2","-0.5","0.3",
"Feb 2019","-0.7","-2.6","-1.1","-0.6","-0.6","0.1",
"Mar 2019","0.1","-2.0","2.6","-0.9","-0.5","-0.2",
"Apr 2019","-0.2","1.0","1.2","-1.3","-0.7","-0.5",
"May 2019","-0.9","-0.2","-0.8","-1.2","-0.6","-0.7",
"Jun 2019","-2.0","1.1","-5.9","-1.2","-0.5","-0.5",
"Jul 2019","-2.0","2.2","-5.5","-1.3","-0.6","-0.6",
"Aug 2019","-2.1","1.1","-6.0","-1.3","-0.6","-0.5",
"Sep 2019","-2.1","-1.6","-5.0","-1.6","-0.8","-0.5",
"Oct 2019","-3.0","-3.7","-7.4","-1.8","-0.8","-0.5",
"Nov 2019","-1.2","-2.5","-0.8","-2.0","-0.6","-0.6",
"Dec 2019","0.5","-1.4","5.8","-1.8","-0.7","-0.6",
"Jan 2020","0.5","-0.6","4.4","-1.7","0.0","-0.3",
"Feb 2020","-1.3","0.6","-3.1","-1.6","0.1","-0.6",
"Mar 2020","-4.2","-0.1","-15.7","-1.2","0.4","-0.6",
"Apr 2020","-6.8","-4.3","-26.5","-0.6","0.9","-0.5",
"May 2020","-6.3","-1.9","-25.0","-0.5","0.8","-0.4",
"Jun 2020","-4.0","-0.7","-16.6","-0.1","0.7","-0.2",
"Jul 2020","-2.8","-1.2","-12.0","0.0","0.8","-0.2",
"Aug 2020","-1.4","-0.1","-7.1","0.2","0.9","0.0",
"Sep 2020","-1.3","1.8","-7.6","0.6","1.3","0.0",
"Oct 2020","-1.0","2.0","-6.8","0.8","1.3","0.1",
"Nov 2020","-1.0","0.2","-6.4","1.1","1.1","0.2",
"Dec 2020","-0.3","-0.8","-3.2","1.0","1.1","0.2",
"Jan 2021","1.0","0.4","2.3","1.1","1.1","0.2",
"Feb 2021","3.0","0.6","10.8","1.1","1.2","0.2",
"Mar 2021","7.1","3.8","30.5","1.3","1.1","0.6",
"Apr 2021","10.9","8.0","52.4","1.2","0.9","0.8",
"May 2021","11.6","5.9","55.2","1.2","1.2","1.0",
"Jun 2021","11.3","8.2","49.3","1.5","1.4","1.1",
"Jul 2021","10.2","9.9","41.5","1.8","1.9","1.1",
"Aug 2021","9.0","9.9","34.5","1.9","2.1","1.1",
"Sep 2021","9.3","10.2","35.8","1.8","1.9","1.4",
"Oct 2021","11.0","11.2","42.9","2.0","2.3","1.6",
"Nov 2021","11.8","13.6","44.2","2.3","2.6","1.9",
"Dec 2021","10.3","13.7","35.6","2.5","2.6","2.2",
"Jan 2022","10.8","15.4","34.2","3.2","2.8","2.6",
"Feb 2022","11.4","15.7","34.5","3.5","3.0","3.0",
"Mar 2022","13.0","13.6","39.3","3.7","3.0","3.2",
"Apr 2022","12.5","11.9","36.8","3.9","3.1","3.1",
"May 2022","11.6","11.5","32.1","4.1","3.5","2.7",
