United States COVID-19 Deaths ED Visits and Positivity by State
Date generated: Tue May 27 2025 22:31:14 GMT+0200 (czas środkowoeuropejski letni)
State/Territory,HHS Region,Percentage of deaths due to COVID-19 in past week,Percent change percentage of deaths due to COVID-19 in past week,Absolute change percentage of deaths due to COVID-19 in past week,Deaths in the Past 3 Months,Death Rate per 100000 for the Past 3 Months,Total Deaths,Total Death rate per 100000,Percent of ED visits diagnosed as COVID-19,Percent change in % of visits diagnosed as COVID-19 from last week compared to prior week,Test positivity (%) in past week,Change in test positivity compared with prior week,Test positivity (%) in past 2 weeks,Test positivity (%) in past 4 weeks,Test volume in past week,Test volume in past 2 weeks,Test volume in past 4 weeks
Alabama,Region 4,Counts 1-9,N/A,N/A,94,1.5,23787,382.3,0.4%,-11.4%,2.3,-0.1,2.4,3.1,2800,9178,19495
Alaska,Region 10,0,N/A,N/A,Counts 1-9,Not Calculated (<20 deaths),1631,246.1,0.4%,8.8%,4.1,0.1,3.7,3.5,3622,9218,18462
American Samoa,N/A,Data not available,N/A,N/A,Data not available,Data not available,Data not available,Data not available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arizona,Region 9,Counts 1-9,N/A,N/A,81,0.9,31421,343.4,0.5%,1.5%,5.1,-0.5,5.7,5.2,2030,4510,9625
Arkansas,Region 6,Counts 1-9,N/A,N/A,53,1.4,13472,363,0.2%,-20.7%,3,-0.1,3,3.2,5904,16447,35047
California,Region 9,Counts 1-9,N/A,N/A,298,0.7,116337,262.8,0.4%,-1.5%,5.1,-0.5,5.7,5.2,2030,4510,9625
Colorado,Region 8,Counts 1-9,N/A,N/A,53,0.9,16227,268.8,0.3%,9.9%,2.7,0.1,2.3,2.2,1920,4426,9364
Connecticut,Region 1,0,N/A,N/A,46,0.9,13286,272.5,0.4%,5.0%,2.5,-0.2,2.8,2.9,2797,7574,16383
Delaware,Region 3,0,N/A,0,23,1.6,3873,290.4,0.2%,18.9%,1.7,-0.5,2.3,2.6,2283,5608,12133
District of Columbia,Region 3,0,N/A,0,Counts 1-9,Not Calculated (<20 deaths),1978,297.3,0.1%,-46.2%,1.7,-0.5,2.3,2.6,2283,5608,12133
