Entity,Day,Weekly cases per million people
United States,2020-03-01,0.096622884
United States,2020-03-02,0.09955085
United States,2020-03-03,0.15225424
United States,2020-03-04,0.24302119
United States,2020-03-05,0.38063562
United States,2020-03-06,0.5621695
United States,2020-03-07,0.77591103
United States,2020-03-08,1.1448348
United States,2020-03-09,1.5459661
United States,2020-03-10,2.1139915
United States,2020-03-11,3.1534195
United States,2020-03-12,4.4592924
United States,2020-03-13,5.7915173
United States,2020-03-14,7.691767
United States,2020-03-15,10.145403
United States,2020-03-16,13.28711
United States,2020-03-17,18.91759
United States,2020-03-18,24.712034
United States,2020-03-19,32.71124
United States,2020-03-20,45.40983
United States,2020-03-21,61.179855
United States,2020-03-22,80.47808
United States,2020-03-23,103.58266
United States,2020-03-24,128.85101
United States,2020-03-25,153.40201
United States,2020-03-26,177.12732
United States,2020-03-27,204.21979
United States,2020-03-28,240.41238
United States,2020-03-29,277.84644
United States,2020-03-30,311.70248
United States,2020-03-31,356.78146
United States,2020-04-01,370.783
United States,2020-04-02,405.7078
United States,2020-04-03,448.33603
United States,2020-04-04,481.4689
United States,2020-04-05,515.76416
United States,2020-04-06,549.3216
United States,2020-04-07,551.7313
United States,2020-04-08,590.0672
United States,2020-04-09,607.91315
United States,2020-04-10,623.9408
United States,2020-04-11,638.44305
United States,2020-04-12,641.7282
United States,2020-04-13,639.97437
United States,2020-04-14,640.29645
United States,2020-04-15,630.38525
United States,2020-04-16,618.39233
United States,2020-04-17,592.2163
United States,2020-04-18,582.70337
United States,2020-04-19,574.32056
United States,2020-04-20,564.79297
United States,2020-04-21,561.79474
United States,2020-04-22,565.2615
United States,2020-04-23,567.21735
United States,2020-04-24,582.62427
United States,2020-04-25,587.6516
United States,2020-04-26,600.7162
United States,2020-04-27,616.2988
United States,2020-04-28,616.2783
United States,2020-04-29,608.46063
United States,2020-04-30,602.6282
United States,2020-05-01,591.8064
United States,2020-05-02,585.97974
United States,2020-05-03,581.0139
United States,2020-05-04,565.4635
United States,2020-05-05,565.06525
United States,2020-05-06,560.8666
United States,2020-05-07,557.7717
