Entity,Day,Weekly deaths per million people
United States,2020-01-09,0
United States,2020-01-10,0
United States,2020-01-11,0
United States,2020-01-12,0
United States,2020-01-13,0
United States,2020-01-14,0
United States,2020-01-15,0
United States,2020-01-16,0
United States,2020-01-17,0
United States,2020-01-18,0
United States,2020-01-19,0
United States,2020-01-20,0
United States,2020-01-21,0
United States,2020-01-22,0
United States,2020-01-23,0
United States,2020-01-24,0
United States,2020-01-25,0
United States,2020-01-26,0
United States,2020-01-27,0
United States,2020-01-28,0
United States,2020-01-29,0
United States,2020-01-30,0
United States,2020-01-31,0
United States,2020-02-01,0
United States,2020-02-02,0
United States,2020-02-03,0
United States,2020-02-04,0
United States,2020-02-05,0
United States,2020-02-06,0
United States,2020-02-07,0
United States,2020-02-08,0
United States,2020-02-09,0
United States,2020-02-10,0
United States,2020-02-11,0
United States,2020-02-12,0
United States,2020-02-13,0
United States,2020-02-14,0
United States,2020-02-15,0
United States,2020-02-16,0
United States,2020-02-17,0
United States,2020-02-18,0
United States,2020-02-19,0
United States,2020-02-20,0
United States,2020-02-21,0
United States,2020-02-22,0
United States,2020-02-23,0
United States,2020-02-24,0
United States,2020-02-25,0
United States,2020-02-26,0
United States,2020-02-27,0
United States,2020-02-28,0
United States,2020-02-29,0.0029279662
United States,2020-03-01,0.0029279662
United States,2020-03-02,0.0058559324
United States,2020-03-03,0.0058559324
United States,2020-03-04,0.02342373
United States,2020-03-05,0.032207627
United States,2020-03-06,0.03806356
United States,2020-03-07,0.043919493
United States,2020-03-08,0.05270339
United States,2020-03-09,0.06441525
United States,2020-03-10,0.07612712
United States,2020-03-11,0.07027119
United States,2020-03-12,0.08198305
United States,2020-03-13,0.11126272
United States,2020-03-14,0.12297458
United States,2020-03-15,0.1463983
United States,2020-03-16,0.16982204
United States,2020-03-17,0.21081357
United States,2020-03-18,0.260589
United States,2020-03-19,0.3220763
United States,2020-03-20,0.4743305
United States,2020-03-21,0.6558644
United States,2020-03-22,0.8930297
United States,2020-03-23,1.1828984
United States,2020-03-24,1.475695
United States,2020-03-25,1.8943942
United States,2020-03-26,2.424356
United States,2020-03-27,3.118284
United States,2020-03-28,3.9146907
United States,2020-03-29,5.0712376
United States,2020-03-30,6.3712544
United States,2020-03-31,7.9728518
United States,2020-04-01,9.340212
United States,2020-04-02,11.60353
United States,2020-04-03,14.004462
United States,2020-04-04,16.84459
United States,2020-04-05,19.447552
United States,2020-04-06,22.32867
United States,2020-04-07,25.865654
United States,2020-04-08,28.969297
United States,2020-04-09,32.222267
United States,2020-04-10,35.44303
United States,2020-04-11,38.13383
United States,2020-04-12,40.666523
United States,2020-04-13,42.575558
United States,2020-04-14,42.52871
United States,2020-04-15,43.155293
United States,2020-04-16,44.147873
United States,2020-04-17,45.641136
United States,2020-04-18,46.27065
United States,2020-04-19,46.548805
