Entity,Code,Day,Weekly new hospital admissions
France,FRA,2020-03-25,14396
France,FRA,2020-03-26,15264
France,FRA,2020-03-27,17067
France,FRA,2020-03-28,18880
France,FRA,2020-03-29,20031
France,FRA,2020-03-30,21086
France,FRA,2020-03-31,22614
France,FRA,2020-04-01,23729
France,FRA,2020-04-02,24477
France,FRA,2020-04-03,25045
France,FRA,2020-04-04,24514
France,FRA,2020-04-05,23760
France,FRA,2020-04-06,23406
France,FRA,2020-04-07,22537
France,FRA,2020-04-08,21395
France,FRA,2020-04-09,20540
France,FRA,2020-04-10,20074
France,FRA,2020-04-11,19296
France,FRA,2020-04-12,19053
France,FRA,2020-04-13,17556
France,FRA,2020-04-14,16244
France,FRA,2020-04-15,15520
France,FRA,2020-04-16,14614
France,FRA,2020-04-17,13619
France,FRA,2020-04-18,13140
France,FRA,2020-04-19,12342
France,FRA,2020-04-20,12549
France,FRA,2020-04-21,12469
France,FRA,2020-04-22,11673
France,FRA,2020-04-23,10999
France,FRA,2020-04-24,10179
France,FRA,2020-04-25,9613
France,FRA,2020-04-26,9204
France,FRA,2020-04-27,8704
France,FRA,2020-04-28,8140
France,FRA,2020-04-29,7591
France,FRA,2020-04-30,7229
France,FRA,2020-05-01,6551
France,FRA,2020-05-02,6005
France,FRA,2020-05-03,5869
France,FRA,2020-05-04,5594
France,FRA,2020-05-05,5260
France,FRA,2020-05-06,5023
France,FRA,2020-05-07,4703
France,FRA,2020-05-08,4545
France,FRA,2020-05-09,4357
France,FRA,2020-05-10,4265
France,FRA,2020-05-11,4099
France,FRA,2020-05-12,3782
France,FRA,2020-05-13,3492
France,FRA,2020-05-14,3306
France,FRA,2020-05-15,3234
France,FRA,2020-05-16,3319
France,FRA,2020-05-17,3218
France,FRA,2020-05-18,3070
France,FRA,2020-05-19,2906
France,FRA,2020-05-20,2795
France,FRA,2020-05-21,2524
France,FRA,2020-05-22,2349
France,FRA,2020-05-23,2232
France,FRA,2020-05-24,2201
France,FRA,2020-05-25,2168
France,FRA,2020-05-26,1980
France,FRA,2020-05-27,1819
France,FRA,2020-05-28,1801
France,FRA,2020-05-29,1793
France,FRA,2020-05-30,1787
France,FRA,2020-05-31,1738
France,FRA,2020-06-01,1485
France,FRA,2020-06-02,1396
France,FRA,2020-06-03,1375
France,FRA,2020-06-04,1317
France,FRA,2020-06-05,1275
France,FRA,2020-06-06,1191
France,FRA,2020-06-07,1156
France,FRA,2020-06-08,1212
France,FRA,2020-06-09,1152
France,FRA,2020-06-10,1032
France,FRA,2020-06-11,980
France,FRA,2020-06-12,903
France,FRA,2020-06-13,828
France,FRA,2020-06-14,824
France,FRA,2020-06-15,793
France,FRA,2020-06-16,767
France,FRA,2020-06-17,753
France,FRA,2020-06-18,746
France,FRA,2020-06-19,726
France,FRA,2020-06-20,748
France,FRA,2020-06-21,763
France,FRA,2020-06-22,791
France,FRA,2020-06-23,765
France,FRA,2020-06-24,746
France,FRA,2020-06-25,734
France,FRA,2020-06-26,705
France,FRA,2020-06-27,670
France,FRA,2020-06-28,666
France,FRA,2020-06-29,626
France,FRA,2020-06-30,661
France,FRA,2020-07-01,670
France,FRA,2020-07-02,639
France,FRA,2020-07-03,677
France,FRA,2020-07-04,669
France,FRA,2020-07-05,646
France,FRA,2020-07-06,642
France,FRA,2020-07-07,617
France,FRA,2020-07-08,594
France,FRA,2020-07-09,580
France,FRA,2020-07-10,591
France,FRA,2020-07-11,601
France,FRA,2020-07-12,606
France,FRA,2020-07-13,576
France,FRA,2020-07-14,510
France,FRA,2020-07-15,560
France,FRA,2020-07-16,600
France,FRA,2020-07-17,583
France,FRA,2020-07-18,594
France,FRA,2020-07-19,604
France,FRA,2020-07-20,673
France,FRA,2020-07-21,721
France,FRA,2020-07-22,720
France,FRA,2020-07-23,724
